Title,Genre,Year,Rating,Studio,Episodes,Season
Attack on Titan,Action,2013,9.0,MAPPA,87,4
Demon Slayer,Action,2019,8.7,ufotable,44,3
Death Note,Thriller,2006,9.0,Madhouse,37,1
Jujutsu Kaisen,Action,2020,8.7,MAPPA,48,2
Fullmetal Alchemist,Adventure,2009,9.1,Bones,64,1
Hunter x Hunter,Action,2011,9.0,Madhouse,148,1
Steins Gate,Sci-Fi,2011,9.1,White Fox,24,1
One Piece,Adventure,1999,8.9,Toei,1000,20
Vinland Saga,Historical,2019,8.8,MAPPA,48,2
Re Zero,Fantasy,2016,8.6,White Fox,50,2
Haikyuu,Sports,2014,8.7,Production IG,85,4
Chainsaw Man,Action,2022,8.5,MAPPA,12,1
Cowboy Bebop,Sci-Fi,1998,8.9,Sunrise,26,1
Bleach,Action,2004,8.2,Pierrot,366,17
My Hero Academia,Action,2016,8.4,Bones,113,6
