Name,Type,HP,Attack,Defense,Height,Weight,Generation
Pikachu,Electric,35,55,40,0.4,6.0,1
Charizard,Fire,78,84,78,1.7,90.5,1
Bulbasaur,Grass,45,49,49,0.7,6.9,1
Mewtwo,Psychic,106,110,90,2.0,122.0,1
Gengar,Ghost,60,65,60,1.5,40.5,1
Lucario,Fighting,70,110,70,1.2,54.0,4
Garchomp,Dragon,108,130,95,1.9,95.0,4
Umbreon,Dark,95,65,110,1.0,27.0,2
Espeon,Psychic,65,110,60,0.9,26.5,2
Snorlax,Normal,160,110,65,2.1,460.0,1
Blaziken,Fire,80,120,70,1.9,52.0,3
Gyarados,Water,95,125,79,6.5,235.0,1
Dragonite,Dragon,91,134,95,2.2,210.0,1
Alakazam,Psychic,55,50,45,1.5,48.0,1
Eevee,Normal,55,55,50,0.3,6.5,1
Arcanine,Fire,90,110,80,1.9,155.0,1
Machamp,Fighting,90,130,80,1.6,130.0,1
Lapras,Water,130,85,80,2.5,220.0,1
Tyranitar,Rock,100,134,110,2.0,202.0,2
Greninja,Water,72,95,67,1.5,40.0,6
