AnimeTitle,Genre,Episodes,Rating,Studio,Status,ReleaseYear
Attack on Titan,Action,87,9.0,MAPPA,Completed,2013
Death Note,Thriller,37,9.0,Madhouse,Completed,2006
Fullmetal Alchemist Brotherhood,Adventure,64,9.1,Bones,Completed,2009
Naruto Shippuden,Action,500,8.7,Pierrot,Completed,2007
One Piece,Adventure,1000,8.9,Toei Animation,Ongoing,1999
Demon Slayer,Action,44,8.7,ufotable,Ongoing,2019
Hunter x Hunter,Action,148,9.0,Madhouse,Completed,2011
Steins Gate,Sci-Fi,24,9.1,White Fox,Completed,2011
Jujutsu Kaisen,Action,48,8.7,MAPPA,Ongoing,2020
Cowboy Bebop,Sci-Fi,26,8.9,Sunrise,Completed,1998
My Hero Academia,Action,113,8.4,Bones,Ongoing,2016
Sword Art Online,Fantasy,96,7.5,A-1 Pictures,Completed,2012
Tokyo Ghoul,Horror,48,7.8,Pierrot,Completed,2014
Bleach,Action,366,8.2,Pierrot,Ongoing,2004
Vinland Saga,Historical,48,8.8,MAPPA,Ongoing,2019
Re Zero,Fantasy,50,8.6,White Fox,Ongoing,2016
No Game No Life,Fantasy,12,8.1,Madhouse,Completed,2014
Chainsaw Man,Action,12,8.5,MAPPA,Ongoing,2022
Violet Evergarden,Drama,13,8.7,Kyoto Animation,Completed,2018
Haikyuu,Sports,85,8.7,Production IG,Completed,2014
